出現形,[細分類],[大分類],[ICDコード],[標準病名],[MedDRA],[抗がん剤有害事象],<間質性肺炎>,<末梢神経障害>,<手足症候群>,<嘔気>,<嘔吐>,<口内炎>,<空咳>
疼痛,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,1,0
痛む,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,1,0
疼痛Ｇ１,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,1,0
Ｇ１疼痛,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,1,0
Ｇ２痛み,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,1,0
辺り痛み,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,疼痛,0,1,1,0,0,1,0
痛み,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,[AMB],[AMB],0,1,1,0,0,0,0
荒れ,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,1,0
潰瘍,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,1,0
発赤ｄ４,発赤,皮膚毒性,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,1,0
異常感覚（しびれ,末梢神経障害,神経毒性,R208,しびれ感,異常感覚,[AMB],0,1,1,0,0,0,0
異常感覚（痺れ,末梢神経障害,神経毒性,R208,しびれ感,異常感覚,[AMB],0,1,1,0,0,0,0
異常感覚（ピリピリ感,末梢神経障害,神経毒性,R202,ピリピリ感,異常感覚,[AMB],0,1,1,0,0,0,0
しびれ,末梢神経障害,神経毒性,R208,しびれ感,感覚鈍麻,[AMB],0,1,1,0,0,0,0
痺れ感,末梢神経障害,神経毒性,R208,しびれ感,感覚鈍麻,[AMB],0,1,1,0,0,0,0
しびれる,末梢神経障害,神経毒性,R208,しびれ感,感覚鈍麻,[AMB],0,1,1,0,0,0,0
しびれ感,末梢神経障害,神経毒性,R208,しびれ感,感覚鈍麻,[AMB],0,1,1,0,0,0,0
腫脹,-1,-1,[AMB],[AMB],腫脹,[AMB],0,0,1,0,0,1,0
激痛,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,1,0
疼痛症状,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,1,0
安静時疼痛,末梢神経障害,神経毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,0,0
体動時痛,末梢神経障害,神経毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,0,0
軽度疼痛,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,1,0
夜間疼痛,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,1,0
痛みまし,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,1,0
疼痛悪化,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,1,0
Ｇ１激痛,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,1,0
疼痛部,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,[AMB],0,1,1,0,0,1,0
ヒリヒリ,末梢神経障害,神経毒性,[AMB],[AMB],[AMB],[AMB],0,1,1,0,0,0,0
Ｇ２赤み,発赤,皮膚毒性,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,1,0
ピリピリ感マシ,末梢神経障害,神経毒性,[AMB],[AMB],[AMB],[AMB],0,1,1,0,0,0,0
荒れ少し,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,1,0
発赤腫脹,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,1,0
発赤疼痛,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,1,0
腫脹疼痛,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,1,0
腫脹発赤,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,1,0
